stock,date,window,order,correlation,swings,period,amplitude,profit,buy
ASX.SLX,2016-03-27_12-56-45,60,1,0.830508474576271,4,14.25,0.169949430397333,0.360034729205398,0.435552256635625
ASX.SLX,2016-03-27_12-56-45,60,2,0.745762711864407,4,14.25,0.171115592299307,0.372546669424062,0.290692010093766
ASX.SLX,2016-03-27_12-56-45,60,3,0.847457627118644,4,14.25,0.168738362113541,0.41019556387492,-0.287664889185141
ASX.SLX,2016-03-27_12-56-45,60,4,0.847457627118644,4,14.25,0.167371500910447,0.425619333643113,-0.514687476920979
ASX.SLX,2016-03-27_12-56-45,120,1,0.831932773109244,6,19.5,0.225123300229183,0.558568511651991,-0.0391092690296183
ASX.SLX,2016-03-27_12-56-45,120,2,0.840336134453782,10,11.7,0.166560943355142,0.338370425187472,0.666721261436877
ASX.SLX,2016-03-27_12-56-45,120,3,0.764705882352941,11,10.6363636363636,0.155878986084973,0.334763196447677,0.302530179512323
ASX.SLX,2016-03-27_12-56-46,120,4,0.764705882352941,10,11.7,0.162988499181344,0.368099917191036,0.0524890784572045
ASX.SLX,2016-03-27_12-56-46,180,1,0.854748603351955,11,16.0909090909091,0.283424926695268,0.858114123210232,-0.3387097012682
ASX.SLX,2016-03-27_12-56-46,180,2,0.804469273743017,12,14.75,0.268619613598621,0.65331418287371,0.189668418301274
ASX.SLX,2016-03-27_12-56-46,180,3,0.815642458100559,16,11.0625,0.222753421355495,0.469147238155817,0.594214354266416
ASX.SLX,2016-03-27_12-56-46,180,4,0.804469273743017,16,11.0625,0.217387110215641,0.49512263561798,0.255310983866879
ASX.SLX,2016-03-27_12-56-46,240,1,0.96652719665272,3,79,1.04142368357089,-4.2038101726879,-0.474391820251095
ASX.SLX,2016-03-27_12-56-46,240,2,0.845188284518828,12,19.75,0.343277223231748,0.689754073160659,0.869962845016528
ASX.SLX,2016-03-27_12-56-46,240,3,0.857740585774059,14,16.9285714285714,0.332389148091856,1.01626973554157,-0.160881215827666
ASX.SLX,2016-03-27_12-56-46,240,4,0.824267782426778,19,12.4736842105263,0.272621853015969,0.606505716948968,0.482770244756607
ASX.QAN,2016-03-27_12-56-45,60,1,0.813559322033898,5,11.4,0.435755696026674,0.119613021076432,-1.18909060785464
ASX.QAN,2016-03-27_12-56-45,60,2,0.711864406779661,8,7.125,0.361053865272443,0.0948341742398673,-0.732635525780135
ASX.QAN,2016-03-27_12-56-45,60,3,0.745762711864407,6,9.5,0.37978697873179,0.0977490260049578,-0.235811200491091
ASX.QAN,2016-03-27_12-56-45,60,4,0.745762711864407,6,9.5,0.379270620218273,0.0977623881102956,-0.268146295363042
ASX.QAN,2016-03-27_12-56-45,120,1,0.882352941176471,9,13,0.520423415189423,0.142678609581273,-0.81574330095434
ASX.QAN,2016-03-27_12-56-45,120,2,0.882352941176471,9,13,0.478494607665176,0.12785188070747,-0.577572817261657
ASX.QAN,2016-03-27_12-56-46,120,3,0.840336134453782,8,14.625,0.484618698477107,0.13440579415017,-1.12274746174325
ASX.QAN,2016-03-27_12-56-46,120,4,0.857142857142857,8,14.625,0.517360587670016,0.139011601880521,-0.539707631742175
ASX.QAN,2016-03-27_12-56-46,180,1,0.871508379888268,7,25.2857142857143,0.706614428408284,0.194652487093368,-0.386518365139777
ASX.QAN,2016-03-27_12-56-46,180,2,0.893854748603352,10,17.7,0.603233822475621,0.168210491087104,-0.769846711711658
ASX.QAN,2016-03-27_12-56-46,180,3,0.871508379888268,10,17.7,0.602540603763263,0.165314710466748,-0.577290024261314
ASX.QAN,2016-03-27_12-56-46,180,4,0.871508379888268,10,17.7,0.602637329823292,0.165619177615173,-0.597335748177535
ASX.QAN,2016-03-27_12-56-46,240,1,0.887029288702929,9,26.3333333333333,0.760541666436266,0.205991286097889,-0.125234826439465
ASX.QAN,2016-03-27_12-56-46,240,2,0.899581589958159,11,21.5454545454545,0.671334635115301,0.187380783268808,-0.600604540372457
ASX.QAN,2016-03-27_12-56-46,240,3,0.874476987447699,11,21.5454545454545,0.663140819505092,0.188960796907185,-0.84151076935464
ASX.QAN,2016-03-27_12-56-46,240,4,0.903765690376569,17,13.9411764705882,0.540872839950352,0.145160061065395,-0.456739996966954
